Label: Tib-Ant Sampling frequency: 1.000000e+003 Number of points: 23000 X start: 0.000000e+000 Unit: V Domain Unit: s
Label: Gcn-Med Sampling frequency: 1.000000e+003 Number of points: 23000 X start: 0.000000e+000 Unit: V Domain Unit: s
Start Trigger Method: Manual
Stop Trigger Method: Auto
Use Camera: NO
Video File Path: prueba Tib-ant, Gcn-med[Rep1].avi
System Gain: 1.000000e+003
A/D card Gain: 1.000000e+000
Bit Resolution: 1.525879e-004
Bias: 0.000000e+000
High pass cutoff frequency: 2.000000e+001
Low pass cutoff frequency: 4.500000e+002
System Gain: 1.000000e+003
A/D card Gain: 1.000000e+000
Bit Resolution: 1.525879e-004
Bias: 0.000000e+000
High pass cutoff frequency: 2.000000e+001
Low pass cutoff frequency: 4.500000e+002
X [s],Tib-Ant [V],Gcn-Med [V]
3.850000e-001,-1.693726e-005,-1.922607e-005
3.860000e-001,-1.785278e-005,-3.311157e-005
3.870000e-001,-1.846313e-005,-1.693726e-005
3.880000e-001,-1.754761e-005,-2.334595e-005
3.890000e-001,-1.861572e-005,-2.105713e-005
3.900000e-001,-1.586914e-005,-1.419067e-005
3.910000e-001,-1.586914e-005,6.561279e-006
3.920000e-001,-1.251221e-005,2.929687e-005
3.930000e-001,-1.556396e-005,1.937866e-005
3.940000e-001,-1.861572e-005,-3.356934e-006
3.950000e-001,-1.754761e-005,-3.997803e-005
3.960000e-001,-1.312256e-005,-2.365112e-005
3.970000e-001,-1.541138e-005,4.425049e-006
3.980000e-001,-1.113892e-005,1.403809e-005
3.990000e-001,-3.814697e-006,3.692627e-005
4.000000e-001,-6.103516e-007,4.821777e-005
4.010000e-001,-2.593994e-006,4.394531e-005
4.020000e-001,-1.129150e-005,3.448486e-005
4.030000e-001,-1.663208e-005,1.342773e-005
4.040000e-001,-1.235962e-005,-2.304077e-005
4.050000e-001,-1.296997e-005,-4.425049e-005
4.060000e-001,-1.266479e-005,-4.974365e-005
4.070000e-001,-1.144409e-005,-6.713867e-006
4.080000e-001,-1.327515e-005,1.983643e-006
4.090000e-001,-1.602173e-005,-3.768921e-005
4.100000e-001,-1.907349e-005,-2.883911e-005
4.110000e-001,-1.586914e-005,4.440308e-005
4.120000e-001,-1.846313e-005,6.393433e-005
4.130000e-001,-1.922607e-005,6.759644e-005
4.140000e-001,-1.922607e-005,2.670288e-005
4.150000e-001,-1.647949e-005,-2.288818e-005
4.160000e-001,-1.129150e-005,-5.599976e-005
4.170000e-001,-1.312256e-005,-5.172729e-005
4.180000e-001,-1.724243e-005,-1.525879e-007
4.190000e-001,-1.693726e-005,3.448486e-005
4.200000e-001,-1.434326e-005,3.067017e-005
4.210000e-001,-1.998901e-005,1.098633e-005
4.220000e-001,-1.892090e-005,1.098633e-005
4.230000e-001,-1.373291e-005,9.460449e-006
4.240000e-001,-9.155273e-006,2.075195e-005
4.250000e-001,-9.460449e-006,3.417969e-005
4.260000e-001,-1.159668e-005,2.441406e-005
4.270000e-001,-1.434326e-005,-1.129150e-005
4.280000e-001,-1.602173e-005,-4.592896e-005
4.290000e-001,-1.464844e-005,-3.768921e-005
4.300000e-001,-1.525879e-005,-4.730225e-006
4.310000e-001,-1.510620e-005,1.846313e-005
4.320000e-001,-1.571655e-005,1.281738e-005
4.330000e-001,-1.312256e-005,1.129150e-005
4.340000e-001,-9.918213e-006,1.892090e-005
4.350000e-001,-9.918213e-006,9.460449e-006
4.360000e-001,-8.087158e-006,8.392334e-006
4.370000e-001,-5.340576e-006,-2.548218e-005
4.380000e-001,-5.493164e-006,-6.057739e-005
4.390000e-001,-8.087158e-006,-2.365112e-005
4.400000e-001,-1.113892e-005,-1.403809e-005
4.410000e-001,-1.403809e-005,2.685547e-005
4.420000e-001,-1.510620e-005,5.050659e-005
4.430000e-001,-1.632690e-005,2.853394e-005
4.440000e-001,-1.663208e-005,5.035400e-006
4.450000e-001,-1.510620e-005,-2.319336e-005
4.460000e-001,-1.388550e-005,-1.983643e-005
4.470000e-001,-1.388550e-005,-6.256104e-006
4.480000e-001,-1.892090e-005,1.144409e-005
4.490000e-001,-2.243042e-005,3.372192e-005
4.500000e-001,-1.892090e-005,2.456665e-005
4.510000e-001,-1.998901e-005,1.373291e-005
4.520000e-001,-2.273560e-005,-3.204346e-006
4.530000e-001,-1.846313e-005,2.288818e-006
4.540000e-001,-1.388550e-005,-1.068115e-006
4.550000e-001,-1.678467e-005,1.525879e-007
4.560000e-001,-1.510620e-005,7.476807e-006
4.570000e-001,-1.403809e-005,8.697510e-006
4.580000e-001,-1.007080e-005,7.476807e-006
4.590000e-001,-1.083374e-005,7.171631e-006
4.600000e-001,-1.342773e-005,3.509521e-006
4.610000e-001,-1.174927e-005,4.882813e-006
4.620000e-001,-1.571655e-005,2.441406e-006
4.630000e-001,-1.510620e-005,2.899170e-006
4.640000e-001,-1.327515e-005,3.356934e-006
4.650000e-001,-1.571655e-005,-3.051758e-007
4.660000e-001,-1.770020e-005,4.577637e-006
4.670000e-001,-1.693726e-005,-2.593994e-006
