Label: EMG Ch1 Sampling frequency: 1.000000e+003 Number of points: 10000 X start: 0.000000e+000 Unit: V Domain Unit: s
Start Trigger Method: Manual
Stop Trigger Method: Manual
Use Camera: NO
Video File Path: Set1[Rep1].avi
System Gain: 1.000000e+003
A/D card Gain: 1.000000e+000
Bit Resolution: 1.525879e-004
Bias: 0.000000e+000
High pass cutoff frequency: 2.000000e+001
Low pass cutoff frequency: 4.500000e+002
X [s],EMG Ch1 [V]
6.570000e-001,3.814697e-005
6.580000e-001,3.936768e-005
6.590000e-001,4.074097e-005
6.600000e-001,3.479004e-005
6.610000e-001,3.250122e-005
6.620000e-001,3.967285e-005
6.630000e-001,4.776001e-005
6.640000e-001,4.867554e-005
6.650000e-001,4.684448e-005
6.660000e-001,4.364014e-005
6.670000e-001,3.936768e-005
6.680000e-001,4.165649e-005
6.690000e-001,4.608154e-005
6.700000e-001,4.455566e-005
6.710000e-001,4.852295e-005
6.720000e-001,6.362915e-005
6.730000e-001,6.301880e-005
6.740000e-001,5.508423e-005
6.750000e-001,4.531860e-005
6.760000e-001,3.173828e-005
6.770000e-001,2.426147e-005
6.780000e-001,2.899170e-005
6.790000e-001,2.990723e-005
6.800000e-001,3.402710e-005
6.810000e-001,4.272461e-005
6.820000e-001,4.837036e-005
6.830000e-001,5.310059e-005
6.840000e-001,5.142212e-005
6.850000e-001,5.432129e-005
6.860000e-001,5.264282e-005
6.870000e-001,5.035400e-005
6.880000e-001,4.547119e-005
6.890000e-001,4.638672e-005
6.900000e-001,5.187988e-005
6.910000e-001,5.172729e-005
6.920000e-001,4.516602e-005
6.930000e-001,4.135132e-005
6.940000e-001,4.074097e-005
6.950000e-001,4.104614e-005
6.960000e-001,3.509521e-005
6.970000e-001,3.219604e-005
6.980000e-001,3.646851e-005
6.990000e-001,3.723145e-005
7.000000e-001,4.089355e-005
7.010000e-001,4.516602e-005
7.020000e-001,4.394531e-005
7.030000e-001,4.440308e-005
7.040000e-001,4.379272e-005
7.050000e-001,4.501343e-005
7.060000e-001,4.211426e-005
7.070000e-001,3.768921e-005
7.080000e-001,3.326416e-005
7.090000e-001,3.967285e-005
7.100000e-001,4.714966e-005
7.110000e-001,5.126953e-005
7.120000e-001,4.516602e-005
7.130000e-001,4.959106e-005
7.140000e-001,4.989624e-005
7.150000e-001,4.425049e-005
7.160000e-001,4.302979e-005
7.170000e-001,3.952026e-005
7.180000e-001,4.119873e-005
7.190000e-001,4.852295e-005
7.200000e-001,4.974365e-005
7.210000e-001,4.898071e-005
7.220000e-001,4.501343e-005
7.230000e-001,4.577637e-005
7.240000e-001,4.806519e-005
7.250000e-001,4.470825e-005
7.260000e-001,5.065918e-005
7.270000e-001,4.913330e-005
7.280000e-001,4.837036e-005
7.290000e-001,4.348755e-005
7.300000e-001,3.417969e-005
7.310000e-001,3.601074e-005
7.320000e-001,3.433228e-005
7.330000e-001,3.555298e-005
7.340000e-001,3.555298e-005
7.350000e-001,4.333496e-005
7.360000e-001,4.913330e-005
7.370000e-001,4.592896e-005
7.380000e-001,4.714966e-005
7.390000e-001,4.425049e-005
7.400000e-001,4.013062e-005
7.410000e-001,4.348755e-005
7.420000e-001,4.333496e-005
7.430000e-001,4.348755e-005
7.440000e-001,4.486084e-005
7.450000e-001,4.074097e-005
7.460000e-001,4.486084e-005
7.470000e-001,4.699707e-005
7.480000e-001,4.653931e-005
7.490000e-001,4.196167e-005
7.500000e-001,4.226685e-005
7.510000e-001,4.226685e-005
7.520000e-001,4.287720e-005
7.530000e-001,4.791260e-005
7.540000e-001,5.752563e-005
7.550000e-001,5.264282e-005
7.560000e-001,4.959106e-005
7.570000e-001,4.333496e-005
7.580000e-001,4.364014e-005
7.590000e-001,4.837036e-005
7.600000e-001,4.760742e-005
7.610000e-001,3.570557e-005
7.620000e-001,3.173828e-005
7.630000e-001,2.517700e-005
7.640000e-001,2.700806e-005
7.650000e-001,3.311157e-005
7.660000e-001,3.677368e-005
7.670000e-001,4.043579e-005
7.680000e-001,4.608154e-005
7.690000e-001,5.157471e-005
7.700000e-001,5.142212e-005
7.710000e-001,5.538940e-005
7.720000e-001,6.469727e-005
7.730000e-001,7.339478e-005
7.740000e-001,1.022339e-005
7.750000e-001,-4.714966e-005
7.760000e-001,-5.905151e-005
7.770000e-001,-3.463745e-005
7.780000e-001,-9.613037e-006
7.790000e-001,2.990723e-005
7.800000e-001,4.913330e-005
7.810000e-001,7.263184e-005
7.820000e-001,1.094055e-004
7.830000e-001,1.742554e-004
7.840000e-001,2.252197e-004
7.850000e-001,2.491760e-004
7.860000e-001,2.357483e-004
7.870000e-001,1.928711e-004
7.880000e-001,1.460266e-004
7.890000e-001,9.429932e-005
7.900000e-001,4.287720e-005
7.910000e-001,-2.441406e-006
7.920000e-001,-4.257202e-005
7.930000e-001,-7.720947e-005
7.940000e-001,-1.034546e-004
7.950000e-001,-1.089478e-004
7.960000e-001,-9.765625e-005
7.970000e-001,-7.873535e-005
7.980000e-001,-6.210327e-005
7.990000e-001,-4.974365e-005
